 3.03 OBSERVATION DATA M: Mixed RINEX VERSION / TYPE
RTKCONV 2.4.3 b33 20191125 135756 UTC PGM / RUN BY / DATE 
log: C:\Users\henri\Nextcloud\M2\Projet S1\data_blox\very COMMENT 
format: u-blox COMMENT 
 MARKERNAME 
 MARKERNUMBER
 MARKERTYPE 
 OBSERVER/ AGENCY 
 REC # / TYPE / VERS 
 ANT # / TYPE 
 4063320.4876 244285.1881 4893859.0427 APPROX POSITION XYZ 
 0.0000 0.0000 0.0000 ANTENNA: DELTA H/E/N
G4 C1C L1C D1C S1C SYS / # / OBS TYPES 
R4 C1C L1C D1C S1C SYS / # / OBS TYPES 
E 4 C1C L1C D1C S1C SYS / # / OBS TYPES 
J 4 C1C L1C D1C S1C SYS / # / OBS TYPES 
S 4 C1C L1C D1C S1C SYS / # / OBS TYPES 
C 4 C2I L2I D2I S2I SYS / # / OBS TYPES 
 2019 11 25 12 24 55.9920000 GPS TIME OF FIRST OBS 
 2019 11 25 13 3 20.9930000 GPS TIME OF LAST OBS 
GSYS / PHASE SHIFT 
RSYS / PHASE SHIFT 
E SYS / PHASE SHIFT 
J SYS / PHASE SHIFT 
S SYS / PHASE SHIFT 
C SYS / PHASE SHIFT 
 0 GLONASS SLOT / FRQ #
 C1C 0.000 C1P 0.000 C2C 0.000 C2P 0.000 GLONASS COD/PHS/BIS 
 END OF HEADER
G7 18904863.502 99345729.783 1059.835 48.000 
R18 19996325.452 106741648.596 -4402.644 47.000 
G5 20685709.857 108704182.775 2677.857 42.000 
R19 18824681.497 100699315.028 -1333.373 37.000 
G6 19692817.483 103486435.888 -3376.983 48.000 
R3 16999763.107 91001033.279 37.102 49.000 
G4 19033485.444 100021635.294 -2829.487 45.000 
G23 20574636.290 108120405.644 -3224.494 46.000 
R10 21146506.397 3 -4299.872 23.000 
R11 20993345.584 112181889.610 -4144.329 28.000 
R2 18520753.458 98830219.870 -3143.433 46.000 
G30 20381681.519 107106455.229 2798.910 47.000 
R13 18786018.375 100316220.975 2952.485 41.000 
R20 21143669.460 3 2540.651 26.000 
G16 21641629.025 113727530.953 -601.071 28.000 
R12 18189217.380 97163462.853 -1112.395 47.000 
G29 22368197.912 117545715.742 -339.180 40.000 
G26 22757241.975 119590128.943 -2289.493 35.000 
> 2019 11 25 12 25 7.9920000 0 20 
G9 18485884.437 97143989.434 -2374.548 48.000 
G2 19625024.704 103130209.745 -630.382 45.000 
G7 18904661.847 99344670.211 1059.307 48.000 
R18 19997150.419 106746051.277 -4402.816 47.000 
G5 20685200.451 108701505.091 2677.590 42.000 
R19 18824930.538 100700648.400 -1334.213 37.000 
G6 19693460.131 103489812.788 -3377.124 48.000 
R3 16999756.258 91000996.311 36.664 49.000 
G4 19034024.054 100024464.719 -2829.620 45.000 
G23 20575249.726 108123630.291 -3224.667 46.000 
R10 21147314.525 3 -4300.971 23.000 
R11 20994111.823 112186033.874 -4144.035 27.000 
R2 18521342.612 98833363.356 -3143.756 46.000 
G30 20381148.947 107103656.466 2798.670 48.000 
R13 18785465.534 100313268.431 2952.029 41.000 
R20 21143189.553 2 2539.198 27.000 
G16 21641750.365 113728132.141 -601.105 28.000 
R12 18189425.840 97164575.785 -1113.498 47.000 
G29 22368262.356 117546054.945 -339.681 41.000 
G26 22757677.506 119592418.143 -2289.446 35.000 
> 2019 11 25 12 25 8.9920000 0 20 
G9 18486336.363 97146364.242 -2375.214 48.000 
G2 19625144.893 103130840.604 -631.389 45.000 
G7 18904460.410 99343611.256 1058.328 48.000 
R18 19997975.562 106750454.432 -4403.591 47.000 
G5 20684691.061 108698827.680 2676.964 42.000 
R19 18825180.590 100701982.763 -1334.710 37.000 
G6 19694102.997 103493190.241 -3377.838 48.000 
R3 16999749.312 91000959.888 35.885 49.000 
G4 19034562.708 100027294.534 -2830.215 45.000 
G23 20575863.215 108126855.201 -3225.372 46.000 
R10 21148124.189 3 -4302.708 25.000 
R11 20994886.403 112190178.689 -4145.055 27.000 
R2 18521931.749 98836507.208 -3144.330 46.000 
G30 20380616.524 107100858.071 2798.069 47.000 
R13 18784912.493 100310316.518 2951.617 41.000 
R20 21142715.107 113059564.7042 2538.688 27.000 
G16 21641868.921 113728734.268 -602.622 28.000 
R12 18189634.536 97165689.710 -1114.725 47.000 
G29 22368326.599 117546394.894 -340.410 41.000 
G26 22758112.872 119594707.956 -2290.203 35.000 
> 2019 11 25 12 25 9.9920000 0 20 
G9 18486788.262 97148739.868 -2375.940 48.000 
G2 19625265.168 103131472.545 -632.159 45.000 
G7 18904258.887 99342553.289 1057.793 48.000 
R18 19998800.573 106754858.446 -4404.111 47.000 
G5 20684181.698 108696150.939 2676.776 42.000 
R19 18825430.355 100703318.604 -1336.044 37.000 
G6 19694745.950 103496568.611 -3378.617 48.000 
R3 16999742.568 91000924.409 35.303 49.000 
G4 19035101.370 100030125.109 -2830.682 45.000 
G23 20576477.567 108130080.726 -3225.516 46.000 
R10 21148931.671 3 -4302.841 25.000 
R11 20995659.212 112194324.541 -4146.115 27.000 
R2 18522520.886 98839651.817 -3144.770 46.000 
G30 20380084.248 107098060.427 2797.562 47.000 
R13 18784359.705 100307365.675 2950.467 41.000 
R20 21142231.702 113057026.4812 2538.036 29.000 
G16 21641983.473 113729337.472 -603.753 29.000 
R12 18189843.346 97166805.025 -1115.687 47.000 
G29 22368391.540 117546735.944 -340.859 41.000 
G26 22758548.682 119596998.756 -2290.895 35.000 
> 2019 11 25 12 25 10.9920000 0 20 
G9 18487240.677 97151115.865 -2376.245 48.000 
G2 19625385.435 103132105.094 -632.849 45.000 
G7 18904057.555 99341495.874 1056.992 48.000 
R18 19999626.029 106759262.903 -4404.932 47.000 
G5 20683672.239 108693474.413 2676.149 42.000 
R19 18825680.513 100704655.363 -1336.959 37.000 
G6 19695388.964 103499947.422 -3379.205 48.000 
R3 16999735.745 91000889.406 34.607 49.000 
G4 19035640.014 100032955.987 -2831.183 45.000 
G23 20577091.631 108133306.426 -3225.890 46.000 
R10 21149736.676 3 -4306.415 25.000 
R11 20996434.813 112198470.887 -4146.958 27.000 
R2 18523110.267 98842796.722 -3145.245 46.000 
G30 20379551.842 107095263.070 2797.024 47.000 
R13 18783807.292 100304415.388 2949.904 41.000 
R20 21141759.682 113054488.9682 2537.642 28.000 
G16 21642095.530 113729941.412 -604.845 29.000 
R12 18190051.684 97167921.314 -1116.872 47.000 
G29 22368456.734 117547077.694 -342.128 41.000 
G26 22758984.431 119599290.151 -2291.876 34.000 
> 2019 11 25 12 25 11.9920000 0 20 
G9 18487692.881 97153492.146 -2376.483 48.000 
G2 19625506.025 103132738.183 -633.236 45.000 
G7 18903856.144 99340438.893 1056.812 48.000 
R18 20000451.381 106763667.667 -4404.883 48.000 
G5 20683163.042 108690797.980 2676.410 42.000 
R19 18825930.278 100705992.977 -1337.960 37.000 
G6 19696032.005 103503326.595 -3379.223 48.000 
R3 16999729.070 91000854.763 34.421 49.000 
G4 19036178.807 100035787.077 -2831.115 45.000 
G23 20577705.670 108136532.233 -3225.916 46.000 
R10 21150545.328 112823608.2852 -4303.950 26.000 
R11 20997208.067 112202617.549 -4146.849 28.000 
R2 18523699.648 98845941.863 -3145.282 46.000 
G30 20379019.567 107092465.907 2797.195 47.000 
R13 18783255.150 100301465.587 2949.501 41.000 
R20 21141282.384 113051951.9292 2536.938 28.000 
G16 21642206.941 113730545.925 -604.811 29.000 
R12 18190260.703 97169038.456 -1117.463 47.000 
G29 22368521.649 117547419.969 -342.694 41.000 
G26 22759420.364 119601581.976 -2292.263 34.000 
> 2019 11 25 12 25 12.9920000 0 20 
G9 18488145.270 97155868.715 -2376.434 48.000 
G2 19625626.554 103133371.822 -633.869 45.000 
G7 18903654.786 99339382.382 1056.312 48.000 
R18 20001276.846 106768072.786 -4405.299 48.000 
G5 20682654.089 108688121.677 2676.132 42.000 
R19 18826180.418 100707331.458 -1338.801 37.000 
G6 19696675.176 103506706.145 -3379.660 48.000 
R3 16999722.265 91000820.504 34.168 49.000 
G4 19036717.452 100038618.395 -2831.261 45.000 
G23 20578318.992 108139758.135 -3225.925 46.000 
R10 21151352.357 3 -4303.623 26.000 
R11 20997982.159 112206764.617 -4147.500 28.000 
R2 18524289.099 98849087.249 -3145.398 46.000 
G30 20378487.213 107089668.960 2796.764 47.000 
R13 18782702.903 100298516.266 2949.158 42.000 
R20 21140804.169 113049415.5232 2536.297 28.000 
G16 21642319.512 113731151.151 -605.773 29.000 
R12 18190469.765 97170156.492 -1118.422 47.000 
G29 22368586.808 117547762.848 -343.104 41.000 
G26 22759856.951 119603874.284 -2292.839 34.000 
> 2019 11 25 12 25 13.9920000 0 20 
G9 18488597.850 97158245.212 -2376.599 48.000 
G2 19625747.196 103134005.626 -634.068 45.000 
G7 18903453.760 99338325.968 1056.086 48.000 
R18 20002102.285 106772477.819 -4405.160 48.000 
G5 20682144.813 108685445.120 2676.493 42.000 
R19 18826430.445 100708670.390 -1339.306 37.000 
G6 19697318.138 103510085.695 -3379.840 48.000 
R3 16999715.695 91000786.269 34.003 49.000 
G4 19037255.992 100041449.567 -2831.252 45.000 
G23 20578932.673 108142983.758 -3225.686 46.000 
R10 21152159.133 112832216.2542 -4304.329 27.000 
R11 20998751.077 112210911.841 -4148.634 27.000 
R2 18524877.922 98852232.499 -3145.367 46.000 
G30 20377955.182 107086871.833 2796.999 48.000 
R13 18782150.481 100295567.065 2949.189 42.000 
R20 21140324.873 113046879.2382 2535.611 28.000 
G16 21642435.931 113731756.540 -605.910 29.000 
R12 18190679.490 97171274.969 -1118.935 47.000 
G29 22368652.246 117548105.922 -343.300 41.000 
G26 22760293.608 119606166.670 -2292.884 34.000 
> 2019 11 25 12 25 14.9920000 0 20 
G9 18489050.264 97160622.331 -2377.411 49.000 
G2 19625867.794 103134640.296 -635.088 45.000 
G7 18903252.934 99337270.332 1055.215 48.000 
R18 20002927.707 106776883.501 -4405.984 48.000 
G5 20681635.659 108682769.023 2675.867 42.000 
R19 18826681.370 100710010.527 -1340.546 37.000 
G6 19697961.475 103513465.944 -3380.557 48.000 
R3 16999709.421 91000752.774 33.065 49.000 
G4 19037794.889 100044281.285 -2831.786 45.000 
G23 20579546.554 108146209.812 -3226.210 46.000 
R10 21152967.034 112836520.9422 -4305.060 28.000 
R11 20999530.726 112215059.573 -4148.225 28.000 
R2 18525467.687 98855378.325 -3146.149 46.000 
G30 20377422.846 107084075.248 2796.204 47.000 
R13 18781598.383 100292618.718 2947.941 42.000 
R20 21139851.352 113044343.3461 2534.966 27.000 
